srg,cnf
com/mojang/minecraft/src/c_00001,com/mojang/minecraft/util/TickTimer
com/mojang/minecraft/src/c_00002,com/mojang/minecraft/MinecraftAppletCanvas
com/mojang/minecraft/src/c_00003,com/mojang/minecraft/Minecraft
com/mojang/minecraft/src/c_00004,com/mojang/minecraft/client/UserSession
com/mojang/minecraft/src/c_00005,com/mojang/minecraft/entity/player/Player
com/mojang/minecraft/src/c_00006,com/mojang/minecraft/util/phys/HitResult
com/mojang/minecraft/src/c_00007,com/mojang/minecraft/entity/Entity
com/mojang/minecraft/src/c_00009,com/mojang/minecraft/world/WorldManager
com/mojang/minecraft/src/c_00010,com/mojang/minecraft/client/renderer/DirtyChunkSorter
com/mojang/minecraft/src/c_00011,com/mojang/minecraft/client/renderer/RenderingChunk
com/mojang/minecraft/src/c_00012,com/mojang/minecraft/client/renderer/ChunkDistanceSorter
com/mojang/minecraft/src/c_00013,com/mojang/minecraft/client/renderer/WorldRenderer
com/mojang/minecraft/src/c_00014,com/mojang/minecraft/world/World
com/mojang/minecraft/src/c_00015,com/mojang/minecraft/client/renderer/TextureRenderer
com/mojang/minecraft/src/c_00016,com/mojang/minecraft/client/renderer/Tessellator
com/mojang/minecraft/src/c_00017,com/mojang/minecraft/client/renderer/Frustrum
com/mojang/minecraft/src/c_00018,com/mojang/minecraft/client/gui/screen/CreateWorldScreen
com/mojang/minecraft/src/c_00019,com/mojang/minecraft/client/gui/Button
com/mojang/minecraft/src/c_00020,com/mojang/minecraft/client/gui/screen/PauseMenu
com/mojang/minecraft/src/c_00021,com/mojang/minecraft/client/gui/screen/Screen
com/mojang/minecraft/src/c_00022,com/mojang/minecraft/client/gui/screen/LoadWorldScreen
com/mojang/minecraft/src/c_00023,com/mojang/minecraft/client/gui/screen/SaveWorldScreen
com/mojang/minecraft/src/c_00024,com/mojang/minecraft/client/renderer/FontRenderer
com/mojang/minecraft/src/c_00025,com/mojang/minecraft/client/renderer/entity/ParticleRenderer
com/mojang/minecraft/src/c_00026,com/mojang/minecraft/entity/particle/Particle
com/mojang/minecraft/src/c_00027,com/mojang/minecraft/entity/passive/Human
com/mojang/minecraft/src/c_00028,com/mojang/minecraft/client/model/ModelPart
com/mojang/minecraft/src/c_00029,com/mojang/minecraft/client/model/HumanModel
com/mojang/minecraft/src/c_00030,com/mojang/minecraft/client/model/Quad
com/mojang/minecraft/src/c_00031,com/mojang/minecraft/client/model/Vertex
com/mojang/minecraft/src/c_00032,com/mojang/minecraft/util/phys/Vec3d
com/mojang/minecraft/src/c_00033,com/mojang/minecraft/util/phys/AABB
com/mojang/minecraft/src/c_00034,com/mojang/minecraft/block/Block
com/mojang/minecraft/src/c_00035,com/mojang/minecraft/block/Sapling
com/mojang/minecraft/src/c_00036,com/mojang/minecraft/block/Dirt
com/mojang/minecraft/src/c_00037,com/mojang/minecraft/block/SourceLiquid
com/mojang/minecraft/src/c_00038,com/mojang/minecraft/block/Liquid
com/mojang/minecraft/src/c_00039,com/mojang/minecraft/block/GrassBlock
com/mojang/minecraft/src/c_00040,com/mojang/minecraft/world/gen/WorldGenerator
com/mojang/minecraft/src/c_00041,com/mojang/minecraft/world/gen/noise/DistortedNoiseGenerator
com/mojang/minecraft/src/c_00042,com/mojang/minecraft/world/gen/noise/OctaveNoiseGenerator
com/mojang/minecraft/src/c_00043,com/mojang/minecraft/world/gen/noise/NoiseGenerator
com/mojang/minecraft/src/c_00044,com/mojang/minecraft/world/gen/noise/PerlinNoiseGenerator
com/mojang/minecraft/src/c_00045,com/mojang/minecraft/client/gui/screen/WorldSizeSelect
com/mojang/minecraft/src/c_00046,com/mojang/minecraft/world/NextTickBlock
com/mojang/minecraft/src/c_00047,com/mojang/minecraft/client/input/Inputs
com/mojang/minecraft/src/c_00048,com/mojang/minecraft/client/input/CodeInputs
com/mojang/minecraft/src/c_00049,com/mojang/minecraft/block/Leaves
com/mojang/minecraft/src/c_00050,com/mojang/minecraft/block/FallingBlock
com/mojang/minecraft/src/c_00051,com/mojang/minecraft/block/Log
com/mojang/minecraft/src/c_00052,com/mojang/minecraft/network/SocketConnection
com/mojang/minecraft/src/c_00053,com/mojang/minecraft/network/packet/Packet
com/mojang/minecraft/src/c_00054,com/mojang/minecraft/network/NetworkManager
com/mojang/minecraft/src/c_00055,com/mojang/minecraft/entity/player/ServerPlayer
com/mojang/minecraft/src/c_00056,com/mojang/minecraft/block/material/Fluid
com/mojang/minecraft/src/c_00057,com/mojang/minecraft/client/gui/hud/ChatLine
com/mojang/minecraft/src/c_00058,com/mojang/minecraft/client/gui/screen/ChatScreen
com/mojang/minecraft/src/c_00059,com/mojang/minecraft/client/gui/screen/FailedConnectionScreen
com/mojang/minecraft/src/c_00060,com/mojang/minecraft/entity/player/ServerPlayerUpdater
com/mojang/minecraft/src/c_00061,com/mojang/minecraft/network/NetworkThread
com/mojang/minecraft/src/c_00062,com/mojang/minecraft/util/StopGameException
com/mojang/minecraft/src/c_00063,com/mojang/minecraft/entity/player/DownloadPlayerSkin
com/mojang/minecraft/src/c_00064,com/mojang/minecraft/client/renderer/HudRenderer
com/mojang/minecraft/src/c_00065,com/mojang/minecraft/client/renderer/animation/LavaTextureAnimation
com/mojang/minecraft/src/c_00066,com/mojang/minecraft/client/renderer/animation/WaterTextureAnimation
com/mojang/minecraft/src/c_00067,com/mojang/minecraft/client/renderer/animation/TextureAnimation
com/mojang/minecraft/src/c_00068,com/mojang/minecraft/block/Sponge
com/mojang/minecraft/src/c_00069,com/mojang/minecraft/block/Glass
